Surgery,RectalTemp,Pulse,RespRate,TempExtr,PeriPulse,Mucous,Capillary,Pain,Peristalsos,AbdominalDist,PckCellVol,TotlProtein,SurgLesion,Died,Age
1,38.5,66,28,3,3,3,2,5,4,4,45,8.4,1,1,young
0,39.2,88,20,4,1,4,1,3,4,2,50,8.5,1,1,young
1,38.3,40,24,1,1,3,1,3,3,1,33,6.7,1,0,young
0,39.1,164,84,4,1,6,2,2,4,4,48,7.2,0,1,old
1,37.3,104,35,1,2,6,2,4,2,2,74,7.4,1,1,young
1,38.1,40,20,2,1,3,1,2,3,2,34,6.7,1,0,young
0,37.9,48,16,1,1,1,1,3,3,3,37,7,0,0,young
0,38.5,60,20,3,1,2,1,2,4,2,44,8.3,0,1,young
1,39.7,80,36,3,4,3,1,4,4,4,38,6.2,0,1,young
1,38.3,90,18,1,1,1,1,5,3,1,40,6.2,1,0,old
0,38.1,66,12,3,3,5,1,3,3,1,44,6,0,0,young
1,39.1,72,52,2,2,2,1,2,1,2,50,7.8,0,0,young
0,37.2,42,12,2,1,1,1,3,3,3,47,7,1,0,young
1,38,92,28,1,1,2,1,1,3,2,37,6.1,1,1,old
0,38.2,76,28,3,1,1,1,3,4,1,46,8.1,0,0,young
0,37.6,96,48,3,1,4,1,5,3,3,45,6.8,0,1,young
0,38,128,36,3,3,4,2,4,4,3,53,7.8,1,1,old
1,37.5,48,24,3,3,3,1,1,2,1,35,6.7,1,0,young
0,37.6,64,21,1,1,2,1,2,3,1,40,7,0,0,young
1,39.4,110,35,4,3,6,2,2,3,3,55,8.7,1,0,young
0,39.9,72,60,1,1,5,2,5,4,4,46,6.1,0,0,young
1,38.4,48,16,1,1,1,1,1,3,1,49,6.8,1,0,young
0,38.6,42,34,2,1,4,1,2,3,1,48,7.2,0,0,young
0,38.3,130,60,4,3,6,1,2,4,1,50,7,0,0,old
0,38.1,60,12,3,3,3,1,5,4,3,51,6.5,0,0,young
1,37.8,60,42,4,1,3,1,3,4,1,58,6.6,1,0,young
0,38.3,72,30,4,3,3,2,3,3,3,43,7,0,0,young
0,37.8,48,12,3,1,1,1,3,3,2,37,5.5,1,0,young
0,37.5,48,24,3,3,4,2,1,4,4,54,6.5,1,1,young
1,37.7,48,40,2,1,1,1,1,1,1,45,7.6,1,0,young
1,37.7,96,30,3,3,4,2,5,4,4,66,7.5,0,1,young
1,37.2,108,12,3,3,4,2,2,4,2,52,8.2,0,1,young
0,37.2,60,30,2,1,1,1,3,3,3,43,6.6,0,0,young
0,38.2,64,28,1,1,1,1,3,1,2,49,8.6,0,0,young
0,38.3,100,30,3,3,4,2,5,4,4,52,6.6,0,0,young
1,38,104,24,4,3,3,2,4,4,3,73,8.4,0,1,young
1,38.3,112,16,3,3,5,2,4,1,1,51,6,1,1,young
0,37.8,72,12,1,3,3,1,5,3,1,56,8,0,0,young
1,38.6,52,26,1,1,1,1,3,3,2,32,6.6,1,0,young
0,39.2,146,96,4,3,6,2,5,4,4,66,4.5,0,1,old
0,38.2,88,70,3,3,6,2,5,3,3,63,6.5,0,1,young
1,39,150,72,4,3,2,2,3,3,3,47,8.5,0,0,old
1,38,60,12,3,1,3,1,3,3,1,47,7,1,0,young
0,38.5,120,10,3,4,4,1,4,4,4,52,6.7,0,1,young
0,35.4,140,24,3,3,4,2,4,4,4,57,6.9,0,1,young
1,40.8,120,30,4,3,4,2,5,4,4,60,6.5,0,1,young
0,37.9,60,15,3,4,4,2,5,4,4,65,7.5,0,0,young
1,37.5,48,16,1,1,1,1,1,1,1,37,6.5,1,0,young
0,38.9,80,44,3,3,3,2,2,3,3,54,6.5,0,1,young
1,37.2,84,48,3,3,5,2,4,1,2,73,5.5,1,1,young
1,38.6,46,20,1,1,2,1,1,3,2,49,9.1,1,0,young
0,37.4,84,36,1,1,3,2,3,3,2,44,6.6,0,1,young
1,38.5,40,18,1,1,3,1,1,3,1,43,7.7,1,0,young
1,38.6,40,20,2,1,6,1,1,1,1,41,6.4,1,0,young
1,40.3,114,36,3,3,1,2,2,3,3,57,8.1,0,1,young
0,38.6,160,20,3,4,5,1,3,3,4,38,1.1,0,1,old
0,37.2,50,20,1,1,1,1,3,2,2,24,6.7,0,0,young
0,37.8,64,36,2,3,2,1,5,3,3,42,7.7,0,1,young
0,38.4,44,20,4,3,3,3,5,4,3,53,5.9,0,1,young
1,38,96,23,3,3,3,2,5,4,4,60,7.5,0,1,young
1,37.8,48,32,1,1,3,1,2,1,1,37,6.7,1,0,young
1,38.5,60,30,2,2,1,1,1,2,2,44,7.7,1,0,young
0,37.8,88,22,2,1,2,1,3,3,3,64,8,0,1,young
1,38.2,130,16,4,3,4,2,2,4,4,65,8.2,1,1,young
0,39,64,36,3,1,4,2,3,3,2,44,7.5,0,0,young
0,37.5,60,36,3,1,3,1,3,3,2,26,7.2,0,0,young
1,37.9,72,28,1,1,5,2,3,3,1,58,7.4,0,0,young
1,38.4,54,24,1,1,1,1,1,3,1,49,7.2,1,0,young
1,38.1,52,16,1,1,3,1,2,1,1,55,7.2,1,0,young
1,38,48,12,1,1,1,1,1,3,1,42,6.3,1,0,young
1,37,60,20,3,1,1,1,3,3,3,43,7.6,0,1,young
0,37.8,48,28,1,1,1,1,1,2,1,46,5.9,1,0,young
0,37.7,56,30,3,1,4,1,4,3,3,45,7.1,0,1,young
0,38.1,52,24,1,1,5,1,4,3,1,54,7.5,0,1,young
0,38.5,124,30,3,1,1,1,4,1,3,37,4.9,0,1,old
0,39.7,100,44,3,3,5,2,2,3,3,48,5.7,0,1,old
0,37.6,38,20,3,3,1,1,3,3,2,37,6.8,0,0,young
1,38.7,52,20,2,1,1,1,1,1,1,33,7.7,1,0,young
0,38.2,60,18,3,3,3,3,5,3,3,46,5.9,0,1,young
0,37.5,96,18,1,3,6,2,3,4,2,69,8.9,0,0,young
0,36.4,98,35,3,3,4,1,4,3,2,47,6.4,0,1,young
0,37.3,40,24,3,3,1,1,2,3,2,36,8.6,0,0,young
0,38.1,100,80,3,1,2,1,3,4,1,36,5.7,0,0,old
0,38,96,24,3,3,6,2,5,4,4,68,7.8,0,1,young
0,37.8,60,80,1,3,2,2,2,3,3,40,4.5,0,0,young
1,38,54,30,2,3,3,3,3,1,2,45,6.2,1,0,young
0,38.5,88,40,3,3,4,2,5,4,3,50,7.7,0,1,young
1,38.6,40,16,1,1,1,1,4,1,1,50,7,0,1,young
1,39,64,40,1,1,5,1,3,3,2,42,7.5,1,0,young
1,38.3,42,10,1,1,1,1,1,1,1,38,6.1,1,0,young
1,38,52,16,3,3,2,1,2,4,4,53,8.6,0,0,young
1,40.3,114,36,3,3,1,2,2,3,3,57,8.1,0,1,young
1,38.8,50,20,3,1,1,1,1,1,1,42,6.2,1,0,young
1,39,76,12,3,3,1,1,5,3,3,38,6.5,0,1,young
1,37.5,48,30,4,1,3,1,1,2,1,48,8.6,1,0,young
0,37.3,48,20,1,1,2,1,3,3,3,41,6.9,0,0,young
1,38,84,36,3,3,3,1,3,3,1,44,8.5,0,0,young
0,38.1,88,32,3,3,4,1,2,3,3,55,6,1,1,young
1,37.7,44,40,2,1,3,1,1,3,2,41,6,1,0,young
1,39.6,108,51,3,3,6,2,2,4,3,59,8,1,0,young
0,38.2,40,16,3,3,1,1,1,3,1,34,6.6,1,0,young
0,37.8,60,20,4,3,4,2,5,4,4,60,6.5,0,1,young
1,38.3,40,16,3,1,1,1,2,3,1,37,5.7,1,0,young
0,38,140,68,1,1,1,1,3,3,2,39,5.3,0,0,old
0,37.8,52,24,1,3,3,1,4,4,1,48,6.6,0,1,young
0,39,70,36,1,1,3,2,2,3,2,36,7.3,0,0,young
0,38.3,52,96,3,3,3,1,2,3,2,43,6.1,0,0,young
1,37.3,50,32,1,1,3,1,1,3,2,44,7,1,0,young
0,38.7,60,32,4,3,2,2,4,4,4,53,6.4,0,1,young
0,38.4,84,40,3,3,2,1,3,3,3,36,6.6,0,1,old
0,38.8,70,16,3,4,5,2,2,3,2,60,7.5,0,1,young
0,38.3,40,16,3,3,1,1,1,3,2,38,5.8,0,0,young
0,37.5,40,40,2,1,1,1,1,3,1,39,5.6,0,0,young
0,36.8,60,28,3,2,3,1,4,2,1,36,4.9,0,1,young
0,38.4,44,24,3,3,4,2,5,4,3,50,7.7,0,0,young
1,37.7,40,40,3,1,1,1,3,3,2,45,7,1,0,young
0,38,44,12,1,1,1,1,3,3,3,42,6.5,0,0,young
1,39.5,100,20,3,3,4,2,3,4,3,53,6.7,0,1,young
0,36.5,78,30,1,1,1,1,5,3,1,34,7.5,0,0,young
1,38.1,56,20,2,1,2,1,1,3,1,46,7,1,0,young
0,39.4,54,66,1,1,2,1,2,3,2,39,6,0,0,young
0,38.3,80,40,4,4,6,2,4,3,1,67,1,0,1,young
1,38.7,40,28,2,1,1,1,3,1,1,39,6.2,1,0,young
0,38.2,64,24,1,1,3,1,4,4,3,45,7.5,0,1,young
1,37.6,48,20,3,1,4,1,1,1,3,37,5.5,0,1,young
0,38,42,68,4,1,1,1,3,3,2,41,7.6,0,0,young
0,38.7,40,40,3,1,3,1,5,4,2,33,6.5,0,0,young
0,37.4,50,32,3,3,3,1,4,4,1,45,7.9,0,0,young
0,37.4,84,20,3,1,3,1,2,3,3,31,6.1,1,1,young
0,38.4,49,40,3,3,1,1,4,3,1,44,7.6,0,0,young
0,37.8,30,12,4,4,5,2,3,4,1,74,6.6,0,1,young
1,37.6,88,36,3,1,1,1,3,3,2,44,6,0,1,young
0,38,48,20,3,1,3,1,4,3,1,43,7.3,0,1,young
1,37.9,40,24,1,1,1,1,2,3,1,40,5.7,0,0,young
0,38.3,100,40,3,3,4,2,5,4,3,59,6.3,0,1,young
0,38.1,136,48,3,3,3,1,5,1,3,33,4.9,0,1,old
0,38.1,66,12,3,3,3,2,5,3,3,46,5.9,0,1,young
0,38,48,24,1,1,1,1,1,2,4,45,7.6,0,0,young
1,38,56,20,1,2,3,1,1,1,1,42,7.1,1,0,young
1,38,60,32,1,1,1,1,3,3,2,50,7,1,0,young
0,38.1,44,9,3,1,1,1,2,2,1,31,7.3,1,0,young
1,36,42,30,3,3,5,1,2,1,1,64,6.8,1,1,young
0,38.8,120,90,4,3,6,2,5,4,4,57,4.5,0,1,young
0,37.8,48,28,1,1,1,2,1,2,1,46,5.9,1,0,young
0,37.1,84,40,3,3,6,1,2,4,4,75,8.1,1,1,young
1,38.5,80,32,3,3,2,1,2,3,3,50,8,0,0,young
0,38.2,48,13,1,3,3,1,3,4,4,42,7.1,0,0,young
1,38,44,12,2,1,3,1,3,4,3,33,6.5,0,1,young
0,38.3,132,30,3,3,6,2,2,4,2,57,8,0,0,young
1,38.7,48,24,2,1,1,1,1,1,1,34,6.3,1,0,young
1,38.9,44,14,3,1,1,1,2,3,2,33,6.4,1,0,young
0,39.3,96,30,4,3,6,2,4,4,2,75,8.4,0,1,young
0,38,100,28,3,3,4,2,5,4,4,68,6.4,0,0,young
1,38.6,48,20,3,1,1,1,1,3,2,50,7.3,1,0,young
1,38.8,48,40,1,1,3,1,3,3,4,41,6.5,0,0,young
1,38,48,20,3,3,4,1,1,4,2,49,8.3,1,0,young
1,38.6,52,20,1,1,1,1,3,3,2,36,6.6,1,0,young
0,37.8,60,24,1,3,3,2,5,4,4,52,7.5,0,1,young
1,38,42,40,3,1,1,1,3,3,1,35,5.8,1,0,young
1,37.7,42,12,1,1,2,1,2,1,2,44,7.5,1,0,young
0,38.4,52,66,1,1,3,1,4,3,1,35,5.8,0,0,young
0,38.3,42,24,3,1,4,1,5,4,4,40,8.5,0,1,young
1,39.5,60,10,3,1,5,2,3,3,2,38,5.6,1,0,young
0,38,66,20,1,3,3,1,5,3,1,46,4.6,0,1,young
0,38.7,76,32,1,1,5,2,3,3,2,50,8,0,0,young
0,39.4,120,48,4,3,5,1,4,3,3,56,6.4,1,1,young
0,38.3,40,18,1,1,1,1,3,1,1,43,5.9,1,0,young
1,39.2,44,24,1,1,1,1,3,3,1,36,6.3,1,0,young
0,38.4,104,40,1,1,3,1,2,4,2,55,8.5,0,0,young
0,39,65,24,3,4,4,2,5,4,4,55,7,0,1,young
1,37.5,44,20,1,1,3,1,3,1,1,35,7.2,1,0,young
1,39,86,16,3,3,5,2,3,3,3,68,5.8,0,1,young
0,38.5,129,48,3,3,3,1,2,4,3,57,6.6,0,0,young
0,38.3,104,16,3,3,5,2,2,4,3,69,8.6,0,1,young
1,38.2,60,16,3,4,6,2,4,4,4,59,7.5,0,1,young
0,38.2,110,90,1,3,6,2,5,4,4,63,6.8,0,0,young
0,38.2,60,30,1,1,3,1,3,3,1,48,6.6,0,0,young
0,38.2,68,14,3,3,4,1,4,4,3,57,9,0,1,young
0,38.2,60,30,3,3,4,2,5,4,4,45,7,0,0,young
1,38.5,100,20,3,3,5,2,4,3,4,59,6.5,1,1,young
0,38.4,84,30,3,1,5,2,4,3,3,47,7.5,0,1,young
1,37.8,48,14,3,1,1,1,3,3,2,35,7.5,1,0,young
0,38,100,24,3,3,6,2,5,4,4,68,7.8,0,1,young
1,37.8,56,16,1,1,2,1,2,1,1,44,6.8,1,0,young
1,38.2,68,32,2,2,2,1,1,1,1,43,6.5,1,0,young
0,38.5,120,60,4,3,6,2,2,3,3,54,6.4,0,0,young
0,39.3,64,90,2,3,1,1,2,3,1,39,6.7,0,0,young
0,38.4,80,30,4,3,1,1,3,3,3,32,6.1,0,0,young
0,38.5,60,68,1,1,1,1,4,1,1,33,5.3,0,0,young
0,38.3,60,16,3,1,1,1,2,1,1,30,6,0,0,young
0,37.1,40,8,2,1,4,1,3,3,1,23,6.7,0,0,young
1,36,100,44,2,1,1,1,4,1,1,37,4.7,1,0,old
0,38.2,48,18,1,1,1,1,3,3,3,48,7.4,0,0,young
0,37.7,60,48,3,3,4,2,4,3,4,58,7.6,0,1,young
1,37.9,88,24,1,1,2,1,2,2,1,37,5.6,1,0,young
1,38,44,12,3,1,1,3,3,1,2,42,6.4,1,0,young
1,38.5,60,20,1,1,5,2,2,2,1,63,7.5,1,1,young
1,38.5,96,36,3,3,3,2,2,4,2,70,8.5,0,1,young
1,38.3,60,20,1,1,1,2,1,3,1,34,6.6,1,0,young
1,38.5,60,40,3,1,2,1,2,1,2,49,5.9,1,0,young
0,37.3,48,12,1,1,3,1,3,1,3,40,6.6,0,0,young
0,38.5,86,16,1,1,3,1,4,4,3,45,7.4,0,1,young
0,37.5,48,40,1,1,3,1,4,2,1,41,5.5,0,1,young
1,37.2,36,9,1,1,1,1,2,3,1,35,5.7,1,0,young
0,39.2,60,23,3,1,3,1,4,4,2,36,6.6,0,0,young
1,38.5,100,12,3,3,5,2,4,3,4,58,7.3,1,1,young
0,38.5,96,30,2,3,4,2,4,4,3,50,6.5,0,0,young
0,39.5,104,12,3,2,3,2,4,2,3,45,8.7,0,1,young
0,37.8,88,80,3,3,5,2,4,3,3,64,8.9,0,1,young
1,37.5,44,10,3,1,1,1,3,1,2,43,5.1,1,0,young
0,37.9,68,20,3,1,2,1,2,4,2,45,4,0,1,young
0,38,86,24,4,3,4,1,2,4,4,45,5.5,0,1,young
0,38.9,120,30,1,3,2,2,3,3,3,47,6.3,1,0,old
0,37.6,45,12,3,1,3,1,2,2,2,39,7,0,0,young
1,38.6,56,32,2,1,1,1,1,1,1,40,7,1,0,young
0,37.8,40,12,1,1,1,1,1,2,1,38,7,0,0,young
1,38,48,40,2,3,2,1,1,3,1,34,5.8,1,0,young
0,38,76,18,4,4,6,2,5,3,1,71,1.1,0,0,young
0,38.1,40,36,1,2,2,1,2,2,1,37,6.4,0,1,young
0,38.4,52,28,3,3,4,1,3,4,3,37,8.1,0,0,young
0,39.2,88,58,4,4,4,2,5,4,4,60,6.3,1,1,young
0,38.5,92,40,4,3,2,1,2,4,3,46,6.7,0,0,young
0,36.5,112,13,4,4,4,1,2,3,1,60,6.3,0,0,young
0,37.7,66,12,1,1,3,1,3,3,2,31.5,6.2,0,0,young
0,38.8,50,14,1,1,1,1,3,1,1,38,5.8,0,0,young
1,38.4,54,24,1,1,1,1,1,3,1,49,7.2,1,0,young
0,39.2,120,20,4,3,5,2,2,3,3,60,8.8,0,1,young
0,38.3,100,30,1,1,2,1,2,1,1,45,6.5,0,0,old
0,37.3,90,40,3,3,6,2,5,4,3,65,5,0,1,young
0,38.5,120,70,2,1,2,1,3,1,3,35,5.4,0,0,old
0,38.5,104,40,3,3,3,1,4,3,4,43,5.7,0,0,young
1,39.5,92,28,3,3,6,1,5,4,1,72,6.4,1,1,young
0,38.5,30,18,3,3,1,1,3,3,1,40,7.7,0,0,young
0,38.3,72,30,4,3,3,2,3,3,3,43,7,0,0,young
1,37.5,48,30,4,1,3,1,2,2,1,48,8.6,1,0,young
0,38.1,52,24,1,1,5,1,4,3,1,54,7.5,0,1,young
1,38.2,42,26,1,1,1,1,3,1,2,36,6.9,1,0,young
1,37.9,54,42,2,1,5,1,3,1,1,47,5.4,1,0,young
1,36.1,88,24,3,3,3,1,3,3,2,45,7,0,1,young
0,38.1,70,22,1,1,3,1,5,3,3,36,6.5,0,1,young
0,38,90,30,4,3,4,2,5,4,4,55,6.1,0,1,young
0,38.2,52,16,1,1,2,1,1,2,1,43,8.1,1,0,young
0,37.3,36,32,1,1,4,1,5,3,3,41,5.9,0,1,young
0,38.4,92,20,1,1,3,2,3,3,3,46,8.5,0,0,young
0,38.2,124,88,1,3,2,1,2,3,4,47,8,0,0,old
1,40.8,96,30,3,3,3,2,5,4,4,60,5.9,0,1,young
0,37.6,68,32,3,1,3,1,4,2,4,47,7.2,0,0,young
0,38.1,88,24,3,3,4,1,5,4,3,41,4.6,0,1,young
0,38,108,60,2,3,4,1,4,3,3,44,6.2,0,0,young
1,38.2,48,12,2,1,1,2,3,3,1,34,6.6,1,0,young
0,39.3,100,51,4,4,6,1,2,4,1,66,1.3,0,1,young
1,36.6,42,18,3,3,2,1,1,4,1,52,7.1,0,1,young
0,38.8,124,36,3,1,2,1,2,3,4,50,7.6,0,1,old
1,38.5,112,24,3,3,4,2,5,4,2,40,5.3,1,0,young
0,38.5,80,20,3,3,3,1,4,4,4,43,7,0,0,young
0,38.8,184,84,1,1,1,1,4,1,3,33,3.3,0,1,old
0,37.5,72,40,2,1,1,1,2,1,1,35,6.5,0,1,young
0,38.7,96,28,3,3,4,1,5,4,4,64,9,0,1,young
1,37.5,52,12,1,1,1,1,2,3,2,36,6.1,1,0,young
0,40.8,72,42,3,3,1,1,2,3,1,54,7.4,0,1,young
1,38,40,25,1,1,1,1,4,3,2,37,6.9,1,0,young
1,38.4,48,16,2,1,1,1,1,3,2,39,6.5,1,0,young
1,38.6,88,28,1,1,2,1,3,1,2,35,5.9,1,0,old
0,37.1,75,36,3,3,3,2,4,4,2,48,7.4,0,1,young
0,38.3,44,21,3,1,2,1,3,3,3,44,6.5,0,0,young
1,37.5,56,68,3,1,1,1,3,3,1,40,6,0,1,young
1,38.6,68,20,2,1,3,1,3,3,2,38,6.5,1,0,young
1,38.3,54,18,3,1,2,1,2,3,2,44,7.2,1,0,young
0,38.2,42,20,1,1,1,1,4,3,1,47,6,1,0,young
0,39.3,64,90,2,3,1,1,5,3,1,39,6.7,0,0,young
0,37.5,60,50,3,3,1,1,3,3,2,35,6.5,0,1,young
0,37.7,80,18,3,3,6,1,5,4,1,50,5.5,0,0,young
0,40.3,100,30,3,3,4,2,5,4,4,52,6.6,0,0,young
0,37.7,120,28,3,3,3,1,5,3,3,65,7,0,1,young
0,38,76,20,3,3,3,1,5,4,4,47,6.8,0,1,young
0,38.8,150,50,1,3,6,2,5,3,2,50,6.2,0,1,old
0,38,36,16,3,1,1,1,4,2,2,37,7.5,1,1,young
1,36.9,50,40,2,3,3,1,1,3,2,37.5,6.5,1,0,young
1,37.8,40,16,1,1,1,1,1,1,1,37,6.8,1,0,young
1,38.2,56,40,4,3,1,1,2,4,3,47,7.2,1,0,young
0,38.6,48,12,1,1,1,1,1,1,1,36,6.7,1,0,young
1,40,78,35,3,3,5,1,2,3,1,66,6.5,0,1,young
0,38,70,16,3,4,5,2,2,3,2,60,7.5,0,1,young
0,38.2,72,18,3,3,3,2,1,3,1,35,6.4,0,0,young
1,38.5,54,20,1,1,1,1,3,1,1,40,6.8,1,0,young
0,38.5,66,24,1,1,1,1,3,3,1,40,6.7,0,0,young
1,37.8,82,12,3,1,1,2,4,4,3,50,7,0,1,young
1,39.5,84,30,1,1,1,1,1,1,1,28,5,1,0,old
0,37,52,16,2,1,1,1,1,1,3,45,6.3,0,0,young
0,38,50,36,1,1,1,1,3,2,2,39,6.6,0,0,young
1,38.6,45,16,2,1,2,1,1,1,1,43,5.8,1,0,young
0,38.9,80,44,3,3,3,1,2,3,3,54,6.5,0,1,young
0,37,66,20,1,3,2,1,4,3,3,35,6.9,0,1,young
0,38.5,78,24,3,3,3,1,2,3,3,43,6.2,1,1,young
1,38.5,40,16,1,1,1,1,2,1,1,37,6.7,1,0,young
0,38.7,120,70,4,3,4,2,2,4,3,55,6.5,1,1,young
1,37.2,72,24,3,2,4,2,4,3,3,44,6.8,0,1,young
0,37.5,72,30,4,3,4,1,4,4,3,60,6.8,0,1,young
0,36.5,100,24,3,3,3,1,3,3,3,50,6,0,0,young
0,37.2,40,20,1,1,3,2,5,4,2,36,6.2,1,1,young
1,38.5,54,20,1,1,2,2,3,4,1,42,6.3,1,0,young
1,37.6,48,36,2,1,1,1,1,3,1,44,6.3,1,0,young
0,37.7,44,28,3,4,3,2,5,4,4,45,7,0,0,young
0,37,56,24,3,1,4,2,4,4,3,35,6.1,1,1,young
1,38,42,12,3,1,3,1,1,1,1,37,5.8,1,0,young
0,38.2,60,40,3,1,1,1,3,4,3,42,7.2,0,0,young
1,38.4,80,60,3,2,2,1,3,2,1,54,6.9,1,0,young
1,37.8,48,12,2,1,2,1,3,1,1,48,7.3,1,0,young
0,38,65,40,1,1,4,2,2,1,1,47,6.2,0,0,young
1,37.9,45,36,3,3,3,2,2,3,1,33,5.7,0,0,young
1,39,84,12,3,1,5,1,2,4,2,62,5.9,0,1,young
1,38.2,60,24,3,1,3,2,3,3,2,53,7.5,1,0,young
0,39.9,140,20,3,3,4,2,5,4,4,30,6.9,1,1,young
0,37.9,120,60,3,3,3,1,5,4,4,52,6.6,0,1,young
1,38,72,36,1,1,3,1,3,1,2,38,6.8,1,0,young
1,38,92,28,1,1,2,1,1,3,2,37,6.1,1,0,old
0,38.3,66,30,2,3,1,1,2,4,3,37,6,0,0,young
1,37.5,48,24,3,1,1,1,2,1,1,43,6,1,0,young
0,37.5,88,20,2,3,3,1,4,3,3,35,6.4,0,1,young
1,39.4,150,60,4,4,4,2,5,4,4,60,6.7,0,1,old
0,39.7,100,30,3,3,6,2,4,4,3,65,7.5,0,1,young
0,38.3,80,28,3,3,4,2,5,4,3,45,7.5,0,0,young
1,37.5,40,32,3,1,3,1,3,2,3,32,6.4,0,0,young
0,38.4,84,30,3,1,5,2,4,3,3,47,7.5,0,1,young
0,38.1,84,44,4,3,4,2,5,3,1,60,6.8,0,1,young
1,38.7,52,16,1,1,1,1,1,3,1,4,7.4,1,0,young
1,38.1,44,40,2,1,3,1,3,3,1,35,6.8,1,0,young
1,38.4,52,20,2,1,3,1,1,3,2,41,6.3,1,0,young
0,38.2,60,20,1,1,3,1,2,1,1,43,6.2,0,0,young
1,37.7,40,18,1,1,1,1,3,2,1,36,3.5,1,0,young
0,39.1,60,10,3,1,1,1,2,3,2,33,6.8,0,0,young
1,37.8,48,16,1,1,1,1,1,1,1,43,7.5,1,0,young
0,39,120,42,4,3,5,2,2,4,3,65,8.2,1,0,young
0,38.2,76,13,2,3,2,1,5,3,3,35,6.5,0,0,young
1,38.3,88,58,4,3,6,2,2,4,1,74,6.5,1,1,young
0,38,80,30,3,3,3,1,5,4,3,48,8.3,0,0,young
0,38.8,48,40,3,1,1,1,2,3,3,34,6.7,0,1,young
0,37.6,40,16,1,1,1,1,1,1,1,39,6.7,0,0,young
1,37.5,44,20,1,1,1,1,3,3,2,45,5.8,1,0,young
1,38.2,42,16,1,1,3,1,1,3,1,35,6,1,0,young
1,38,56,44,3,3,3,1,1,1,1,47,7,1,0,young
1,38.3,45,20,3,3,2,2,2,4,1,47,8.9,1,0,young
0,37.9,48,96,1,1,3,1,4,4,1,42,8,0,0,young
0,37.7,55,28,2,1,2,1,2,3,3,46,7.5,0,0,young
1,36,100,20,4,3,6,2,2,4,3,74,5.7,0,1,young
0,37.1,60,20,2,3,4,1,3,4,3,64,8.5,0,0,young
1,37.1,114,40,3,2,3,2,2,2,1,32,5,1,0,young
0,38.1,72,30,3,3,3,1,4,4,3,37,5.6,0,0,young
0,37,44,12,3,1,1,2,1,1,1,40,6.7,0,0,young
0,38.6,48,20,3,1,1,1,4,3,1,37,7.5,0,0,young
0,37.8,82,72,3,1,4,1,2,3,3,53,6.5,0,1,young
0,38.2,78,60,4,4,6,2,3,3,3,59,5.8,0,1,old
1,37.8,60,16,1,1,3,1,2,3,2,41,7.3,1,1,young
0,38.7,34,30,2,1,3,1,2,3,2,33,6.9,0,1,young
0,36.4,36,12,1,1,1,1,1,2,1,44,7.5,0,0,young
1,38.3,44,60,2,1,1,1,1,1,1,6.4,3.6,0,0,young
1,37.4,54,18,3,1,1,1,3,4,3,30,7.1,0,0,young
0,39.2,100,60,4,3,6,2,2,4,1,54,7.6,0,0,young
0,36.6,48,16,3,1,3,1,4,1,1,27,5.6,0,1,young
0,38.5,90,28,1,1,3,1,3,3,3,47,7.9,0,0,young
0,38.2,75,12,1,1,4,1,5,3,3,58,8.5,0,0,young
1,38.2,42,12,3,1,1,1,1,1,2,35,5.9,1,0,young
0,38.2,78,60,4,4,6,2,3,3,3,59,5.8,0,1,old
1,38.6,60,30,1,1,3,1,4,2,2,40,6,0,0,young
1,37.8,42,40,1,1,1,1,1,3,1,36,6.2,1,0,young
0,38,60,12,1,1,2,1,2,1,1,44,6.5,0,1,young
1,38,42,12,3,3,3,1,1,1,1,37,5.8,1,0,young
1,37.6,88,36,3,1,1,1,3,3,2,44,6,0,1,young
